folder,druid,sourceid,label
80040013-IF000000176,rq013mg5535,sul:ARS0018_0102-A,
80040014-IF000000177,yh355mb2427,sul:ARS0018_0104-A,
80030002-IF000000158,bf799mw7421,sul:ARS0018_0106-A,
80030003-IF000000159,hd196fm2242,sul:ARS0018_0108-A,
80030004-IF000000160,mz754jr6839,sul:ARS0018_0109-A,
80040015-IF000000178,sp563xq0175,sul:ARS0018_0110-A,
80040016-IF000000179,hz715dh2573,sul:ARS0018_0111-A,
80100010-IF000000713,ms311rq4467,sul:ARS0018_0112-A,
80100011-IF000000714,gs130jg6831,sul:ARS0018_0113-A,
80050001-IF000000302,dx407jt9941,sul:ARS0018_0114-A,
80050002-IF000000303,wy202qc8667,sul:ARS0018_0115-A,
80050003-IF000000304,ys963hm2988,sul:ARS0018_0116-A,
80030005-IF000000161,rn559db9189,sul:ARS0018_0117-A,
80030006-IF000000162,sk661zv0711,sul:ARS0018_0118-A,
80050004-IF000000305,vb989yd4778,sul:ARS0018_0119-A,
80080001-IF000000528,md571fj7729,sul:ARS0018_0120-A,
80080002-IF000000529,vv821mv2011,sul:ARS0018_0121-A,
80080003-IF000000530,cn625xv9534,sul:ARS0018_0122-A,
80100012-IF000000715,wr753xx6291,sul:ARS0018_0123-A,
80100013-IF000000716,fc279pw1696,sul:ARS0018_0124-A,
80100014-IF000000717,gd743qd8642,sul:ARS0018_0125-A,
80100015-IF000000718,nq956sc7221,sul:ARS0018_0126-A,
80100016-IF000000719,vd711ht7658,sul:ARS0018_0127-A,
80090001-IF000000623,wk722mq7715,sul:ARS0018_0128-A,
80090002-IF000000624,bn994ks9916,sul:ARS0018_0129-A,
80090003-IF000000625,hb554wp1202,sul:ARS0018_0130-A,
80090004-IF000000626,rm177vd3162,sul:ARS0018_0131-A,
80090005-IF000000627,dc273my6182,sul:ARS0018_0132-A,
80090006-IF000000628,st047hw2558,sul:ARS0018_0132A-A,
80100017-IF000000720,kc401pk6569,sul:ARS0018_0133-A,
80030007-IF000000163,xz912dk9802,sul:ARS0018_0134-A,
80030008-IF000000113,jb569xd8724,sul:ARS0018_0135-A,
80090007-IF000000629,bc355dv6080,sul:ARS0018_0136-A,
80050005-IF000000306,fm453pt7597,sul:ARS0018_0137-A,
80060001-IF000000384,tc133rf4199,sul:ARS0018_0140-A,
80060002-IF000000385,pk244vn1175,sul:ARS0018_0141-A,
80050006-IF000000307,bf255wj6849,sul:ARS0018_0142-A,
80090008-IF000000630,qg107xs1600,sul:ARS0018_0143-A,
80090009-IF000000631,gq494nj9744,sul:ARS0018_0144-A,
80060003-IF000000386,vt636mf2093,sul:ARS0018_0145-A,
80060004-IF000000387,ks397ny3430,sul:ARS0018_0146-A,
80050007-IF000000308,vg733yt8978,sul:ARS0018_0147-A,
80090010-IF000000632,yg565wf9457,sul:ARS0018_0148-A,
80090011-IF000000633,jr400rz0706,sul:ARS0018_0149-A,
80020013-IF000000065,sn939kn0441,sul:ARS0018_0152-A,
80020014-IF000000066,cv724my7589,sul:ARS0018_0153-A,
80020015-IF000000067,cn644tx0834,sul:ARS0018_0154-A,
80100018-IF000000721,sb135vh3378,sul:ARS0018_0155-A,
80030009-IF000000114,dk312dy4643,sul:ARS0018_0156-A,
80060005-IF000000388,ht421mx2229,sul:ARS0018_0159-A,
80090012-IF000000634,xb087qc9112,sul:ARS0018_0160-A,
80090013-IF000000635,mg498kh6705,sul:ARS0018_0162-A,
80080004-IF000000531,nv200gn6281,sul:ARS0018_0163-A,
80080005-IF000000532,vg062tr8744,sul:ARS0018_0164-A,
80080006-IF000000533,cc067ym6574,sul:ARS0018_0165-A,
80060006-IF000000389,xn090xd3870,sul:ARS0018_0166-A,
80060007-IF000000390,fz843hg9542,sul:ARS0018_0169-A,
80060008-IF000000391,rr892jr0824,sul:ARS0018_0171-A,
80080007-IF000000534,sz899vp9015,sul:ARS0018_0172-A,
80080008-IF000000535,gf582fh2588,sul:ARS0018_0173-A,
80020016-IF000000068,fq690yf8707,sul:ARS0018_0174-A,
80110001-IF000000799,fw158yj9345,sul:ARS0018_0175-A,
80110002-IF000000800,sm273wv0222,sul:ARS0018_0176-A,
80110003-IF000000801,hd753nd7731,sul:ARS0018_0177-A,
80110004-IF000000802,kn620my1537,sul:ARS0018_0178-A,
80110005-IF000000803,td692qz4501,sul:ARS0018_0179-A,
80110006-IF000000804,dn796vd0569,sul:ARS0018_0180-A,
80030010-IF000000115,yh126qj4344,sul:ARS0018_0181-A,
80030011-IF000000116,vx974xt7281,sul:ARS0018_0182-A,
80030012-IF000000117,xf762br8587,sul:ARS0018_0183-A,
80030013-IF000000118,pr411vg4671,sul:ARS0018_0185-A,
80100019-IF000000722,wq748sk9368,sul:ARS0018_0186-A,
80020017-IF000000069,jz688fz0142,sul:ARS0018_0187-A,
80050008-IF000000309,tt869xz2707,sul:ARS0018_0189-A,
80050009-IF000000310,kj568xm8819,sul:ARS0018_0191-A,
80050010-IF000000311,xn212vy3731,sul:ARS0018_0192-A,
80050011-IF000000312,kd767cw2079,sul:ARS0018_0193-A,
80090014-IF000000636,cv795fs1003,sul:ARS0018_0195-A,
80090015-IF000000637,ws914nd8884,sul:ARS0018_0197-A,
80070001-IF000000438,dc923bh8187,sul:ARS0018_0200-A,
80070002-IF000000439,zk039kd2188,sul:ARS0018_0202-A,
80070003-IF000000440,rx605mr1142,sul:ARS0018_0203-A,
80070004-IF000000441,cs909gp1665,sul:ARS0018_0207-A,
80050012-IF000000313,zn780qd8694,sul:ARS0018_0208-A,
80050013-IF000000314,mj827ky6635,sul:ARS0018_0209-A,
80030014-IF000000119,fy156fw0139,sul:ARS0018_0211-A,
80020018-IF000000070,kf922xf0914,sul:ARS0018_0213-A,
80070005-IF000000442,hh150nz1551,sul:ARS0018_0215-A,
80090016-IF000000638,kz883rj2588,sul:ARS0018_0216-A,
80020019-IF000000071,pq948dd3546,sul:ARS0018_0217-A,
80110007-IF000000805,xg697nr1447,sul:ARS0018_0219-A,
80110008-IF000000806,yb702pv6509,sul:ARS0018_0220-A,
80120035-IF000001079,ys529gw7556,sul:ARS0018_0223-A,
80110009-IF000000807,nn349yq9630,sul:ARS0018_0224-A,
80110010-IF000000808,tz779zd5712,sul:ARS0018_0225-A,
80090017-IF000000639,sw401ym0965,sul:ARS0018_0226-A,
80110011-IF000000809,ky219zp9832,sul:ARS0018_0233-A,
80030015-IF000000120,jm959dq2318,sul:ARS0018_0234-A,
80040017-IF000000180,qp610xk6621,sul:ARS0018_0239-A,
80040018-IF000000181,mj471bf3485,sul:ARS0018_0240-A,
80040019-IF000000182,hn768jj6394,sul:ARS0018_0241-A,
80040020-IF000000183,yz600hn9727,sul:ARS0018_0242-A,
80110012-IF000000810,qc696tq6002,sul:ARS0018_0244-A,
80080009-IF000000536,js315gd1132,sul:ARS0018_0245-A,
80050014-IF000000315,yt699zc1086,sul:ARS0018_0246-A,
80080010-IF000000537,zp055fv1498,sul:ARS0018_0247-A,
80050015-IF000000316,xq125vf9346,sul:ARS0018_0248-A,
80050016-IF000000317,hd691md6546,sul:ARS0018_0250-A,
80110013-IF000000811,jz381mm1827,sul:ARS0018_0252-A,
80110014-IF000000812,sm804yx3237,sul:ARS0018_0253-A,
80090018-IF000000640,nt149mr4382,sul:ARS0018_0256-A,
80070006-IF000000443,rz930dn2259,sul:ARS0018_0257-A,
80070007-IF000000444,pg723bw3438,sul:ARS0018_0259-A,
80020020-IF000000072,ty703rh7019,sul:ARS0018_0260-A,
80020021-IF000000073,jn965zt0609,sul:ARS0018_0261-A,
80050017-IF000000318,ts400nq2907,sul:ARS0018_0262-A,
80060009-IF000000392,sq351dn2302,sul:ARS0018_0264-A,
80100020-IF000000723,mt585my8126,sul:ARS0018_0265-A,
80020022-IF000000074,xj057px1109,sul:ARS0018_0266-A,
80110015-IF000000813,ks253vs6830,sul:ARS0018_0268-A,
80110016-IF000000814,hd175cw3655,sul:ARS0018_0269-A,
80110017-IF000000815,gr886kx6980,sul:ARS0018_0271-A,
80110018-IF000000816,fk066ph1863,sul:ARS0018_0275-A,
80110019-IF000000817,yz506hg1102,sul:ARS0018_0277-A,
