source_id,filename,label,sequence,druid_no_audio
,bz887ny7893_1_b_pm.wav,"Tape 1, Side B",,
,bz887ny7893_1_b_sl.mp3,"Tape 1, Side B",2,
,bz887ny7893_2_a_pm.wav,"Tape 2, Side A",,
,bz887ny7893_2_a_sl.mp3,"Tape 2, Side A",3,
M1897_FAF0813940105,cb409rg7184_a_pm.wav,"Tape 1, Side A",,
,cb409rg7184_a_sl.mp3,"Tape 1, Side A",1,
,cb409rg7184_b_pm.wav,"Tape 1, Side B",,
,cb409rg7184_b_sl.mp3,"Tape 1, Side B",2,
M1897_FAF1209930102-FAF1209930202,cc270yt6305_1_a_pm.wav,"Tape 1, Side A",,
,cc270yt6305_1_a_sl.mp3,"Tape 1, Side A",1,
,cc270yt6305_1_b_pm.wav,"Tape 1, Side B",,
,cc270yt6305_1_b_sl.mp3,"Tape 1, Side B",2,
,cc270yt6305_2_a_pm.wav,"Tape 2, Side A",,
,cc270yt6305_2_a_sl.mp3,"Tape 2, Side A",3,
,cc270yt6305_2_b_pm.wav,"Tape 2, Side B",,
,cc270yt6305_2_b_sl.mp3,"Tape 2, Side B",4,
M1897_FAF1207930102-FAF1207930202,cc505zm1413_1_a_pm.wav,"Tape 1, Side A",,
,cc505zm1413_1_a_sl.mp3,"Tape 1, Side A",1,
,cc505zm1413_1_b_pm.wav,"Tape 1, Side B",,
,cc505zm1413_1_b_sl.mp3,"Tape 1, Side B",2,
,cc505zm1413_2_a_pm.wav,"Tape 2, Side A",,
,cc505zm1413_2_a_sl.mp3,"Tape 2, Side A",3,
,cc505zm1413_2_b_pm.wav,"Tape 2, Side B",,
,cc505zm1413_2_b_sl.mp3,"Tape 2, Side B",4,
M1897_FAF0324840104-FAF0324840204-FAF0324840304-FAF0324840404,cf836kk6043_1_a_pm.wav,"Tape 1, Side A",,
,cf836kk6043_1_a_sl.mp3,"Tape 1, Side A",1,
,cf836kk6043_1_b_pm.wav,"Tape 1, Side B",,
,cf836kk6043_1_b_sl.mp3,"Tape 1, Side B",2,
,cf836kk6043_2_a_pm.wav,"Tape 2, Side A",,
,cf836kk6043_2_a_sl.mp3,"Tape 2, Side A",3,
,cf836kk6043_2_b_pm.wav,"Tape 2, Side B",,
,cf836kk6043_2_b_sl.mp3,"Tape 2, Side B",4,
,cf836kk6043_3_a_pm.wav,"Tape 3, Side A",,
,cf836kk6043_3_a_sl.mp3,"Tape 3, Side A",5,
,cf836kk6043_3_b_pm.wav,"Tape 3, Side B",,
,cf836kk6043_3_b_sl.mp3,"Tape 3, Side B",6,
,cf836kk6043_4_a_pm.wav,"Tape 4, Side A",,
,cf836kk6043_4_a_sl.mp3,"Tape 4, Side A",7,
,cf836kk6043_4_b_pm.wav,"Tape 4, Side B",,
,cf836kk6043_4_b_sl.mp3,"Tape 4, Side B",8,
M1897_FAF910960101,cf859vt7787_a_pm.wav,"Tape 1, Side A",,
,cf859vt7787_a_sl.mp3,"Tape 1, Side A",1,
,cf859vt7787_b_pm.wav,"Tape 1, Side B",,
,cf859vt7787_b_sl.mp3,"Tape 1, Side B",2,
M1897_FAF0613850102-FAF0613850202,cf945yj4505_1_a_pm.wav,"Tape 1, Side A",,
,cf945yj4505_1_a_sl.mp3,"Tape 1, Side A",1,
,cf945yj4505_1_b_pm.wav,"Tape 1, Side B",,
,cf945yj4505_1_b_sl.mp3,"Tape 1, Side B",2,
,cf945yj4505_2_a_pm.wav,"Tape 2, Side A",,
,cf945yj4505_2_a_sl.mp3,"Tape 2, Side A",3,
M1897_FAF0316880102-FAF0316880202,ch720gf2772_1_a_pm.wav,"Tape 1, Side A",,
,ch720gf2772_1_a_sl.mp3,"Tape 1, Side A",1,
,ch720gf2772_1_b_pm.wav,"Tape 1, Side B",,
,ch720gf2772_1_b_sl.mp3,"Tape 1, Side B",2,
,ch720gf2772_2_a_pm.wav,"Tape 2, Side A",,
,ch720gf2772_2_a_sl.mp3,"Tape 2, Side A",3,
M1897_FAF0321950104-FAF0321950204-FAF0321950304-FAF0321950404,cs471jj3803_1_a_pm.wav,"Tape 1, Side A",,
,cs471jj3803_1_a_sl.mp3,"Tape 1, Side A",1,
,cs471jj3803_1_b_pm.wav,"Tape 1, Side B",,
,cs471jj3803_1_b_sl.mp3,"Tape 1, Side B",2,
,cs471jj3803_2_a_pm.wav,"Tape 2, Side A",,
,cs471jj3803_2_a_sl.mp3,"Tape 2, Side A",3,
,cs471jj3803_2_b_pm.wav,"Tape 2, Side B",,
,cs471jj3803_2_b_sl.mp3,"Tape 2, Side B",4,
,cs471jj3803_3_a_pm.wav,"Tape 3, Side A",,
,cs471jj3803_3_a_sl.mp3,"Tape 3, Side A",5,
,cs471jj3803_3_b_pm.wav,"Tape 3, Side B",,
,cs471jj3803_3_b_sl.mp3,"Tape 3, Side B",6,
,cs471jj3803_4_a_pm.wav,"Tape 4, Side A",,
,cs471jj3803_4_a_sl.mp3,"Tape 4, Side A",7,
,cs471jj3803_4_b_pm.wav,"Tape 4, Side B",,
,cs471jj3803_4_b_sl.mp3,"Tape 4, Side B",8,
M1897_FAF1107910102-FAF1107910202,ct595vf4344_1_a_pm.wav,"Tape 1, Side A",,
,ct595vf4344_1_a_sl.mp3,"Tape 1, Side A",1,
,ct595vf4344_1_b_pm.wav,"Tape 1, Side B",,
,ct595vf4344_1_b_sl.mp3,"Tape 1, Side B",2,
,ct595vf4344_2_a_pm.wav,"Tape 2, Side A",,
,ct595vf4344_2_a_sl.mp3,"Tape 2, Side A",3,
,ct595vf4344_2_b_pm.wav,"Tape 2, Side B",,
,ct595vf4344_2_b_sl.mp3,"Tape 2, Side B",4,
M1897_FAF0719940102-FAF0719940202,cx848zp1574_1_a_pm.wav,"Tape 1, Side A",,
