source_id,filename,label,sequence,druid_no_audio
,by590pt3484_223_b_pm.wav,"Tape 2, Side B",,
,by590pt3484_223_b_sh.wav,"Tape 2, Side B",,
,by590pt3484_223_b_sl.mp3,"Tape 2, Side B",4,
,by590pt3484_224_a_pm.wav,"Tape 3, Side A",,
,by590pt3484_224_a_sh.wav,"Tape 3, Side A",,
,by590pt3484_224_a_sl.mp3,"Tape 3, Side A",5,
SC1017_s7_Kriss,bz074xf0149_276_a_pm.wav,"Tape 1, Side A",,
,bz074xf0149_276_a_sh.wav,"Tape 1, Side A",,
,bz074xf0149_276_a_sl.mp3,"Tape 1, Side A",1,
,bz074xf0149_276_b_pm.wav,"Tape 1, Side B",,
,bz074xf0149_276_b_sh.wav,"Tape 1, Side B",,
,bz074xf0149_276_b_sl.mp3,"Tape 1, Side B",2,
SC1017_s6_Englebart,cb260zz4895_229_a_pm.wav,"Tape 1, Side A",,
,cb260zz4895_229_a_sh.wav,"Tape 1, Side A",,
,cb260zz4895_229_a_sl.mp3,"Tape 1, Side A",1,
,cb260zz4895_229_b_pm.wav,"Tape 1, Side B",,
,cb260zz4895_229_b_sh.wav,"Tape 1, Side B",,
,cb260zz4895_229_b_sl.mp3,"Tape 1, Side B",2,
,cb260zz4895_230_a_pm.wav,"Tape 2, Side A",,
,cb260zz4895_230_a_sh.wav,"Tape 2, Side A",,
,cb260zz4895_230_a_sl.mp3,"Tape 2, Side A",3,
,cb260zz4895_231_a_pm.wav,"Tape 3, Side A",,
,cb260zz4895_231_a_sh.wav,"Tape 3, Side A",,
,cb260zz4895_231_a_sl.mp3,"Tape 3, Side A",4,
,cb260zz4895_231_b_pm.wav,"Tape 3, Side B",,
,cb260zz4895_231_b_sh.wav,"Tape 3, Side B",,
,cb260zz4895_231_b_sl.mp3,"Tape 3, Side B",5,
,cb260zz4895_232_a_pm.wav,"Tape 4, Side A",,
,cb260zz4895_232_a_sh.wav,"Tape 4, Side A",,
,cb260zz4895_232_a_sl.mp3,"Tape 4, Side A",6,
,cb260zz4895_232_b_pm.wav,"Tape 4, Side B",,
,cb260zz4895_232_b_sh.wav,"Tape 4, Side B",,
,cb260zz4895_232_b_sl.mp3,"Tape 4, Side B",7,
,cb260zz4895_233_a_pm.wav,"Tape 5, Side A",,
,cb260zz4895_233_a_sh.wav,"Tape 5, Side A",,
,cb260zz4895_233_a_sl.mp3,"Tape 5, Side A",8,
,cb260zz4895_233_b_pm.wav,"Tape 5, Side B",,
,cb260zz4895_233_b_sh.wav,"Tape 5, Side B",,
,cb260zz4895_233_b_sl.mp3,"Tape 5, Side B",9,
,cb260zz4895_234_a_pm.wav,"Tape 6, Side A",,
,cb260zz4895_234_a_sh.wav,"Tape 6, Side A",,
,cb260zz4895_234_a_sl.mp3,"Tape 6, Side A",10,
,cb260zz4895_234_b_pm.wav,"Tape 6, Side B",,
,cb260zz4895_234_b_sh.wav,"Tape 6, Side B",,
,cb260zz4895_234_b_sl.mp3,"Tape 6, Side B",11,
